Date,Open,High,Low,Close,Adj Close,Volume
2017-05-15,56.889999,56.926998,56.679001,56.926998,56.926998,0
2017-05-22,56.926998,56.993999,55.840000,56.481499,56.481499,0
2017-05-29,56.481499,56.917500,56.209801,56.606098,56.606098,0
2017-06-05,56.606098,57.103001,56.259998,57.012402,57.012402,0
2017-06-12,56.996101,57.835899,56.615002,57.709400,57.709400,0
2017-06-19,57.709400,60.347000,57.431999,59.423401,59.423401,0
2017-06-26,59.423500,59.763000,58.528999,58.880600,58.880600,0
2017-07-03,58.880600,60.598999,58.702000,60.347900,60.347900,0
2017-07-10,60.351501,60.760101,59.018700,59.061501,59.061501,0
2017-07-17,59.061600,59.436001,58.722000,59.227501,59.227501,0
2017-07-24,59.227501,60.174702,59.113998,59.479198,59.479198,0
2017-07-31,59.479198,60.811298,59.338001,59.935501,59.935501,0
2017-08-07,59.935501,60.306000,59.594002,59.789299,59.789299,0
2017-08-14,59.791100,60.084000,58.895000,58.895000,58.895000,0
2017-08-21,58.895000,59.241501,58.563202,58.563301,58.563301,0
2017-08-28,58.567001,58.882999,57.375000,57.465500,57.465500,0
2017-09-04,57.465500,58.089001,56.556000,57.317299,57.317299,0
2017-09-11,57.316399,57.955002,56.993999,57.672600,57.672600,0
2017-09-18,57.672501,58.348598,57.400600,57.596901,57.596901,0
2017-09-25,57.573601,58.555000,57.078999,57.521099,57.521099,0
2017-10-02,57.325298,58.243000,57.316299,58.175999,58.175999,0
2017-10-09,58.115101,58.486000,57.028000,57.139999,57.139999,0
2017-10-16,57.230999,57.698002,56.889599,57.447498,57.447498,0
2017-10-23,57.517502,58.723000,57.216000,57.993401,57.993401,0
2017-10-30,58.182598,59.245998,57.636600,59.020000,59.020000,0
2017-11-06,58.974701,59.550999,58.085999,59.310001,59.310001,0
2017-11-13,59.224899,60.419498,58.837002,58.928600,58.928600,0
2017-11-20,59.099098,59.527000,58.210899,58.357700,58.357700,0
2017-11-27,58.375000,59.103001,58.028999,58.854099,58.854099,0
2017-12-04,58.865898,59.353001,58.415001,59.092800,59.092800,0
2017-12-11,59.083801,59.292999,58.243000,58.801899,58.801899,0
2017-12-18,58.528999,58.838799,58.095001,58.303799,58.303799,0
2017-12-25,58.298698,58.358799,57.141998,57.626999,57.626999,0
2018-01-01,57.626999,57.782001,56.700001,56.835499,56.835499,0
2018-01-08,56.966999,57.155998,56.271000,56.610199,56.610199,0
2018-01-15,56.548698,56.926899,56.023998,56.493698,56.493698,0
2018-01-22,56.596100,56.692501,55.562000,55.880699,55.880699,0
2018-01-29,56.216202,56.518002,55.738998,56.516102,56.516102,0
